ID,Review Date,Category,Title,IMDB Rating,RT Critics Rating,Moistmeter Rating,Genre
91,9/8/2018,Movies,The Nun,5.3,24,25,"Horror, Mystery, Thriller"
92,9/11/2018,Video Games,Marvel's Spider-Man,,,75,Animation
93,9/15/2018,Movies,The Predator,5.3,34,30,"Action, Adventure, Sci-Fi"
94,9/22/2018,Movies,Assassination Nation,6,74,25,"Action, Comedy, Crime"
95,10/1/2018,Movies,Hell Fest,5.5,39,40,"Horror, Thriller"
96,10/6/2018,Movies,Venom,6.6,30,25,"Action, Adventure, Sci-Fi"
97,10/7/2018,TV Shows,Steins;Gate 0,8.4,100,80,"Animation, Drama, Mystery"
98,10/11/2018,TV Shows,My Hero Academia,8.3,100,85,"Animation, Action, Adventure"
99,10/13/2018,Movies,Bad Times at the El Royale,7.1,75,80,"Crime, Drama, Mystery"
100,10/16/2018,Video Games,Black Ops 4,,,85,N/A
101,10/20/2018,Movies,Halloween,7.7,96,80,"Horror, Thriller, Crime"
102,10/21/2018,TV Shows,Attack on Titan,9.1,96,85,"Animation, Action, Adventure"
103,10/28/2018,TV Shows,Overlord,6.6,82,65,"Action, Horror, Sci-Fi"
104,10/30/2018,TV Shows,Castlevania,8.3,94,85,"Animation, Action, Adventure"
105,11/1/2018,Video Games,Red Dead Redemption 2,,,80,Adventure
106,11/5/2018,Movies,Bohemian Rhapsody,7.9,60,55,"Biography, Drama, Music"
107,11/10/2018,Movies,Overlord,6.6,82,70,"Action, Horror, Sci-Fi"
108,11/18/2018,Movies,Fantastic Beasts: Crimes of GrindelWald,6.5,36,40,"Adventure, Family, Fantasy"
109,11/24/2018,Movies,Ralph Breaks The Internet,7,88,70,"Animation, Adventure, Comedy"
110,11/25/2018,Movies,Robin Hood,6.6,44,20,"Action, Adventure, Drama"
111,12/1/2018,Video Games,Darksiders 3,,,60,N/A
112,12/15/2018,Movies,Spider-Man: Into The Spider-Verse,8.4,97,95,"Animation, Action, Adventure"
113,12/17/2018,Movies,Mortal Engines,6.1,26,30,"Action, Adventure, Fantasy"
114,12/18/2018,Video Games,Smash Ultimate,,,90,N/A
115,12/22/2018,Movies,Aquaman,6.8,65,70,"Action, Adventure, Fantasy"
116,12/23/2018,Movies,Bumblebee,6.7,90,60,"Action, Adventure, Sci-Fi"
117,12/29/2018,Movies,Holmes and Watson,3.9,10,15,"Comedy, Crime, Mystery"
118,12/31/2018,TV Shows,Goblin Slayer,7.4,,65,"Animation, Action, Adventure"
119,1/1/2019,TV Shows,Bandersnatch,7.1,,90,"Drama, Fantasy, Mystery"
120,1/3/2019,TV Shows,Bird Box,6.6,64,70,"Horror, Mystery, Sci-Fi"
121,1/9/2019,Movies,Escape Room,6.4,50,45,"Action, Adventure, Horror"
122,1/15/2019,Movies,Replicas,5.5,9,10,"Action, Drama, Sci-Fi"
123,1/19/2019,Movies,Glass,6.6,37,60,"Drama, Horror, Sci-Fi"
124,1/19/2019,Movies,Dragon Ball Super: Broly,7.7,83,85,"Animation, Action, Adventure"
125,1/31/2019,Video Games,Resident Evil 2 Remake,,,85,"Short, News, Talk-Show"
126,2/2/2019,Video Games,Kingdom Hearts 3,,,70,"Short, Reality-TV"
127,2/9/2019,Video Games,Apex Legends,,,75,"Animation, Short, Sci-Fi"
128,2/10/2019,Movies,LEGO Movie 2,6.5,84,80,"Animation, Action, Adventure"
129,2/12/2019,Movies,The Prodigy,5.9,43,40,"Fantasy, Horror, Mystery"
130,2/14/2019,Movies,Alita: Battle Angel,7.3,61,90,"Action, Adventure, Sci-Fi"
131,2/18/2019,Movies,Happy Death Day 2U,6.2,71,50,"Comedy, Horror, Mystery"
132,2/20/2019,Video Games,Anthem,,,20,Short
133,3/9/2019,Movies,Captain Marvel,6.8,79,65,"Action, Adventure, Sci-Fi"
134,3/11/2019,Video Games,Devil May Cry 5,,,80,N/A
135,3/23/2019,Movies,Us,6.8,93,50,"Horror, Mystery, Thriller"
136,3/25/2019,Video Games,Sekiro: Shadows Die Twice,,,85,N/A
137,4/4/2019,Other,"Billie Eilish - When We All Fall Asleep, Where Do We Go",,,75,N/A
138,4/6/2019,Movies,Shazam,7.9,90,70,"Short, Family"
139,4/6/2019,Movies,Pet Sematary,6.5,56,60,"Fantasy, Horror, Thriller"
140,4/13/2019,Movies,Hellboy,6.8,81,35,"Action, Adventure, Fantasy"
141,4/14/2019,TV Shows,Mob Psycho 100,8.6,,90,"Animation, Action, Comedy"
142,4/16/2019,TV Shows,Game of Thrones Season 1,9,90,85,"Action, Adventure, Drama"
143,4/18/2019,TV Shows,Game of Thrones Season 2,8.7,96,75,"Action, Adventure, Drama"
144,4/21/2019,Movies,The Curse of La Llorona,5.3,28,15,"Horror, Mystery, Thriller"
145,4/22/2019,TV Shows,Game of Thrones Season 3,8.3,96,90,"Action, Adventure, Drama"
146,4/24/2019,TV Shows,Game of Thrones Season 4,9,97,95,"Action, Adventure, Drama"
147,4/26/2019,Video Games,Mortal Kombat 11,,,70,Talk-Show
148,4/27/2019,Movies,Avengers: Endgame,8.4,94,80,"Action, Adventure, Drama"
149,5/4/2019,TV Shows,Game of Thrones Season 5,,,75,"Action, Adventure, Drama"
